omega,D,mask,status,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,pell_sec,total_sec,error
5,2310,31,HIT,3,2,1,1,0,30,30,1,384,0.000043,0.000201,
5,1155,30,CHECKED_NO_HIT,2,1,1,1,0,30,30,0,,0.000044,0.000169,
5,770,29,CHECKED_NO_HIT,3,1,1,2,0,15,15,0,,0.000027,0.000147,
5,210,15,CHECKED_NO_HIT,2,1,1,5,0,6,6,0,,0.000014,0.000053,
5,330,23,CHECKED_NO_HIT,3,1,1,3,0,10,10,0,,0.000030,0.000078,
5,462,27,CHECKED_NO_HIT,2,1,1,3,0,10,10,0,,0.000012,0.000082,
5,385,28,GATE_Y1_NOT_SMOOTH,5,4,0,0,0,0,0,0,,0.000048,0.000056,
5,231,26,CHECKED_NO_HIT,2,1,1,1,0,30,30,0,,0.000012,0.000082,
5,165,22,HIT,4,2,1,1,0,30,30,1,539,0.000022,0.000101,
5,154,25,GATE_Y1_NOT_SMOOTH,5,4,0,0,0,0,0,0,,0.000035,0.000052,
5,110,21,HIT,2,1,1,2,0,15,15,1,440,0.000016,0.000072,
5,105,14,CHECKED_NO_HIT,2,1,1,6,0,5,5,0,,0.000016,0.000047,
5,66,19,CHECKED_NO_HIT,2,1,1,4,0,7,7,0,,0.000012,0.000044,
5,70,13,CHECKED_NO_HIT,3,2,1,5,0,6,6,0,,0.000024,0.000055,
5,42,11,CHECKED_NO_HIT,2,1,1,15,0,2,2,0,,0.000014,0.000037,
5,35,12,CHECKED_NO_HIT,1,1,1,6,0,5,5,0,,0.000011,0.000034,
5,55,20,CHECKED_NO_HIT,2,2,1,4,0,7,7,0,,0.000019,0.000048,
5,77,24,CHECKED_NO_HIT,3,2,1,2,0,15,15,0,,0.000028,0.000081,
5,30,7,CHECKED_NO_HIT,2,1,1,6,0,5,5,0,,0.000011,0.000067,
5,33,18,CHECKED_NO_HIT,2,1,1,12,0,2,2,0,,0.000023,0.000044,
5,22,17,CHECKED_NO_HIT,3,2,1,3,0,10,10,0,,0.000034,0.000057,
5,15,6,CHECKED_NO_HIT,1,1,1,15,0,2,2,0,,0.000017,0.000039,
5,21,10,HIT,2,2,1,2,0,15,15,1,3024,0.000024,0.000090,
5,10,5,CHECKED_NO_HIT,2,1,1,12,0,2,2,0,,0.000013,0.000033,
5,6,3,CHECKED_NO_HIT,1,1,1,12,0,2,2,0,,0.000012,0.000023,
5,14,9,CHECKED_NO_HIT,2,1,1,10,0,3,3,0,,0.000025,0.000055,
5,11,16,CHECKED_NO_HIT,2,1,1,6,0,5,5,0,,0.000017,0.000044,
5,7,8,CHECKED_NO_HIT,1,1,1,6,0,5,5,0,,0.000013,0.000029,
5,5,4,CHECKED_NO_HIT,1,1,1,20,0,1,1,0,,0.000018,0.000040,
5,3,2,LCM_EXCEEDS_L,1,1,1,60,0,0,0,0,,0.000013,0.000035,
5,2,1,HIT,1,1,1,6,0,5,5,1,9800,0.000013,0.000052,
